기준년월,승인일자,승인SEQ,승인시간대,카드KEY,통합승인금액,개인법인구분코드_회원,국내해외여부,카드이용한도금액,가맹점광역시도코드,이상거래여부,이상거래유형,이상거래설명,연령,남녀구분코드,승인거래코드,승인발생경로코드,가맹점승인업종코드,가맹점누적매출금액_구간화,개인법인구분코드_가맹점,가맹점여부_신규,인터넷판매여부,경과일수_최종이용일자,가맹점상태코드,가맹점형태구분코드,로고구분코드,일시불할부구분코드,전월_매출건수,카드구분코드,할부가능개월수,가맹점KEY,전월_매출금액
202104,20210414,11,12,CD000913,9000,1,0,5000000,09,0,,,5,2,00,C,5507,1,2,0,0,34,30,00,02,A,43080.0,1,24.0,ST000169,398512000.0
202106,20210615,92,20,CD000014,4000,1,0,10000000,05,0,,,5,2,00,Q,2301,1,2,0,0,38,2,_,03,A,6159.0,1,0.0,ST006293,372356000.0
202104,20210402,7,11,CD000994,8000,1,0,5000000,02,0,,,3,1,00,Q,2305,2,1,0,0,31,30,_,03,A,46.0,1,0.0,ST000090,1125000.0
202104,20210430,125,13,CD000144,4000,1,0,10000000,13,0,,,3,1,00,C,5202,2,2,0,0,31,30,00,02,A,359.0,1,24.0,ST000895,2524000.0
202106,20210630,247,20,CD000193,50000,1,0,10000000,14,0,,,5,1,00,C,5202,2,_,0,0,32,30,00,04,A,54.0,2,24.0,ST001125,1575000.0
202104,20210402,3,14,CD000661,19000,1,0,1000000,14,0,,,2,1,00,C,2301,1,1,0,0,32,30,00,02,A,55.0,1,24.0,ST000436,1588000.0
202105,20210529,18,15,CD001432,9000,1,0,1000000,09,0,,,7,1,00,C,2104,2,1,0,0,32,30,00,01,A,58.0,1,24.0,ST000049,2056000.0
202106,20210627,37,20,CD000919,4000,1,0,10000000,09,0,,,4,2,00,C,5202,2,2,0,0,32,30,00,03,A,1501.0,1,24.0,ST000430,10393000.0
202104,20210412,15,18,CD000297,99000,2,0,0,02,0,,,9,_,00,C,6601,2,1,1,0,32,30,00,02,A,41.0,4,24.0,ST004283,1364000.0
202106,20210615,43,18,CD000349,9000,1,0,10000000,06,0,,,2,2,00,C,6302,1,2,0,0,32,30,00,04,A,38565.0,1,24.0,ST002050,1508000.0
202106,20210623,50,10,CD000139,8000,1,0,5000000,02,0,,,6,1,10,C,2502,2,1,0,0,34,30,00,03,A,349.0,1,24.0,ST000130,1857000.0
202105,20210514,36,12,CD000493,8000,2,0,0,09,0,,,9,_,00,C,8405,2,1,0,0,32,30,00,02,A,338.0,5,24.0,ST001203,2214000.0
202104,20210422,9,18,CD001591,4000,1,0,5000000,04,0,,,3,2,00,C,2301,2,1,0,0,31,30,00,02,A,57.0,1,24.0,ST000135,420227000.0
202104,20210421,34,12,CD000709,9000,1,0,1000000,11,0,,,4,1,00,C,2103,2,1,0,0,32,30,00,03,A,7112.0,1,24.0,ST000587,1942000.0
202105,20210521,55,16,CD001875,1000,1,0,1000000,14,0,,,3,2,00,C,6306,2,2,0,0,33,30,00,03,A,69.0,1,24.0,ST000023,2264000.0
202105,20210524,84,18,CD000350,4000,1,0,0,07,0,,,2,1,10,C,2502,2,1,0,0,32,30,00,02,A,1420.0,1,24.0,ST000344,11679000.0
202104,20210417,42,18,CD001859,8000,1,0,0,09,0,,,3,1,10,C,8401,1,1,0,0,32,30,00,02,A,1407.0,1,24.0,ST006581,1879000.0
202106,20210626,2,17,CD000177,8000,1,0,0,09,0,,,4,1,10,C,1301,1,1,0,0,32,30,00,02,A,281.0,1,24.0,ST001243,1211000.0
202104,20210417,29,18,CD002210,8000,1,0,5000000,02,0,,,3,1,00,C,2502,1,1,0,0,32,30,00,01,A,330.0,1,24.0,ST000236,1591000.0
202106,20210608,9,14,CD002286,9000,1,0,10000000,14,0,,,4,2,00,C,6306,2,2,0,0,32,30,00,03,A,51.0,1,24.0,ST000023,1639000.0
202104,20210417,38,12,CD000411,9000,1,0,5000000,09,0,,,3,2,00,C,5503,3,2,0,1,32,30,05,03,A,1580473.0,1,30.0,ST000274,1735000.0
202105,20210529,98,15,CD000350,4000,1,0,0,07,0,,,2,1,10,C,2502,1,1,0,0,31,30,00,02,A,1402.0,1,24.0,ST000621,13209000.0
202105,20210529,42,11,CD000017,10000,1,0,10000000,09,0,,,4,2,00,C,4402,1,1,0,0,31,30,00,03,A,8416.0,1,24.0,ST000404,1596000.0
202105,20210515,3,12,CD001180,9000,2,0,0,06,0,,,9,_,00,C,6302,2,2,0,0,32,30,00,03,A,362.0,4,24.0,ST000076,1738000.0
202105,20210525,37,13,CD000184,9000,1,0,5000000,04,0,,,3,2,00,C,5201,2,1,0,0,32,30,00,02,A,1281.0,1,24.0,ST000146,10453000.0
202104,20210405,1,16,CD001845,4000,1,0,5000000,11,0,,,4,1,00,C,2501,2,1,0,0,32,30,00,03,A,6543.0,1,24.0,ST000297,399422000.0
202104,20210420,69,15,CD001641,8000,1,0,10000000,02,0,,,4,1,00,C,4402,1,1,0,0,34,30,00,06,A,52.0,1,24.0,ST000573,1554000.0
202105,20210518,16,16,CD001847,8000,1,0,0,09,0,,,3,1,10,C,1107,2,1,0,0,34,30,00,01,A,338.0,1,24.0,ST000221,2241000.0
202106,20210610,24,13,CD000774,8000,2,0,0,02,0,,,9,_,00,C,3503,2,1,0,0,32,30,00,03,A,56.0,4,24.0,ST000613,1369000.0
202104,20210422,4,13,CD002330,20000,1,0,1000000,07,0,,,7,2,00,C,4402,2,1,0,0,32,30,00,03,A,1293.0,1,24.0,ST000097,53167000.0
202104,20210412,6,16,CD001097,9000,2,0,0,16,0,,,9,_,00,C,7204,2,1,0,0,32,30,00,03,A,50.0,5,24.0,ST003900,1753000.0
202106,20210604,5,16,CD001113,4000,1,0,5000000,02,0,,,6,1,00,C,8202,2,1,0,0,32,30,00,04,A,57.0,1,24.0,ST000459,1197000.0
202106,20210603,19,15,CD000480,105000,2,0,0,14,0,,,9,_,00,C,5202,1,1,0,0,32,30,00,03,A,61.0,4,24.0,ST000633,1827000.0
202104,20210413,2,11,CD000185,9000,1,0,10000000,10,0,,,4,2,00,C,6601,2,1,0,0,33,30,00,01,A,45.0,1,24.0,ST000127,1410000.0
202106,20210618,32,11,CD000432,18000,1,0,10000000,10,0,,,3,2,00,C,2502,2,1,0,0,32,30,00,02,A,59.0,1,24.0,ST000622,1575000.0
202104,20210404,2,12,CD000738,10000,1,0,10000000,12,0,,,5,2,00,C,5202,1,1,0,0,32,30,00,05,A,357.0,1,24.0,ST000033,1950000.0
202104,20210428,60,08,CD002181,4000,1,0,1000000,02,0,,,3,2,00,C,5507,2,2,0,0,32,30,00,03,A,8599.0,1,24.0,ST000579,426296000.0
202105,20210529,90,16,CD000264,29000,1,0,0,03,0,,,3,1,10,C,2307,1,_,0,0,32,30,00,02,A,39.0,1,24.0,ST000514,1040000.0
202105,20210528,13,13,CD002315,9000,1,0,10000000,03,0,,,3,1,00,C,2201,2,1,0,0,32,30,00,02,A,56.0,1,24.0,ST006979,1877000.0
202105,20210531,33,22,CD002102,1848000,1,0,10000000,09,1,17,"고매출 가맹점에서 개인 또는 가족카드로 일정 금액 이상의 결제가 발생하여, 유사수신(자금조달 등) 이상 거래 의심
해당월 거래 건수 33건인 3 고객이 통합승인금액이 1848000 본인카드로 결제",3,2,01,C,5507,3,2,0,0,33,30,00,05,B,44633.0,1,24.0,ST000080,3622298000.0
202106,20210620,2,12,CD001637,8000,1,0,10000000,02,0,,,5,2,00,C,5202,2,_,0,0,33,30,00,02,A,357.0,1,24.0,ST000121,2142000.0
202104,20210404,3,18,CD000669,4000,1,0,10000000,09,0,,,5,2,00,C,5507,2,_,0,0,38,30,00,03,A,1309.0,1,24.0,ST000223,3788401000.0
202106,20210625,24,11,CD000149,7000,1,0,5000000,13,0,,,2,1,00,C,5206,1,1,0,0,32,30,00,02,A,341.0,1,24.0,ST000103,1915000.0
202106,20210603,6,13,CD000833,9000,1,0,5000000,09,0,,,2,2,00,Q,2305,1,1,0,0,33,2,_,02,A,53.0,1,0.0,ST001740,730000.0
202104,20210408,21,18,CD001306,101000,1,0,10000000,14,0,,,3,2,00,C,2103,2,2,0,0,32,30,00,03,A,343.0,1,24.0,ST003330,2085000.0
202105,20210517,10,09,CD000997,7000,1,0,0,09,0,,,6,1,00,C,4402,1,1,0,0,32,30,00,04,A,268.0,1,24.0,ST000404,1468000.0
202104,20210430,24,16,CD001273,18000,1,0,10000000,03,0,,,4,2,00,C,4101,2,2,0,0,31,30,00,03,A,53.0,1,24.0,ST000933,1331000.0
202106,20210617,68,20,CD002222,9000,1,0,10000000,02,0,,,4,2,00,C,9605,2,2,0,0,32,30,00,03,A,50103.0,1,24.0,ST000256,367537000.0
202105,20210528,50,15,CD001099,9000,1,0,5000000,02,0,,,3,1,00,C,5201,1,1,0,0,32,30,00,03,A,1445.0,1,24.0,ST000004,11938000.0
202106,20210606,21,21,CD001275,18000,1,0,10000000,02,0,,,3,1,00,C,5501,2,2,0,0,32,30,05,02,A,1463938.0,1,24.0,ST000243,4009081000.0
202104,20210410,2,12,CD000265,9000,1,0,10000000,01,0,,,5,1,00,C,8302,2,2,0,0,32,30,00,03,A,74.0,1,24.0,ST001882,1761000.0
202106,20210601,6,13,CD000206,9000,2,0,0,15,0,,,9,_,10,C,2502,1,1,0,0,32,30,00,04,A,345.0,4,24.0,ST000424,10893000.0
202105,20210501,9,11,CD000739,4000,1,1,10000000,,0,,,3,1,10,O,7333,2,,,,32,,,02,_,,1,,ST000552,
202104,20210427,117,16,CD000122,4000,1,0,5000000,13,0,,,3,2,00,C,1301,2,1,0,0,32,30,00,03,A,50.0,1,24.0,ST001954,1172000.0
202105,20210508,3,16,CD001438,4000,1,0,10000000,06,0,,,5,2,10,C,2301,1,1,0,0,32,30,00,02,A,315.0,1,24.0,ST000177,1609000.0
202104,20210407,8,20,CD002285,111000,1,0,10000000,08,0,,,6,1,00,C,4206,2,1,0,0,32,30,00,02,A,342.0,1,24.0,ST000053,2011000.0
202105,20210516,9,19,CD000997,8000,1,0,1000000,09,0,,,6,1,00,C,4102,2,1,0,0,32,30,00,04,A,317.0,1,24.0,ST000415,1665000.0
